Composition,Delta_H,Pressure,Temperature
TiCo,57.8,2.2,150
ErFe2,57.9,0,80
Mg2Ni0.75Mn0.25,58,1,250
TiNi,58,,
Mg2Ni0.75Mn0.25,58,1,250
CaNi3,58,,
Mg2Ni0.75Cu0.25,59,1.2,250
Mg2Ni0.75Ti0.25,59,1.3,250
HfCo,59,0,50
Mg2Ni0.75Cu0.25,59,1.2,250
Mg2Ni0.75Ti0.25,59,1.3,250
SmCo3,59.4,0.2,69
Mg2Ni0.7Zr0.3,59.8,10,340
Mg2Ni0.7Zr0.3,59.8,10,340
Mg2Ni.75Cr.25,59.9,1,248
Mg2Ni.75Cr.25,59.9,1,248
Mg2Ni0.75Fe0.25,60,1,250
Ti.9La.1Co,60,3.2,150
GdRu2,60,3,225
Mg2Ni0.75Fe0.25,60,1,250
V.8Ti.2,60,1.8,110
Mg2Ni,61,1.1,250
Mg2Ni0.75Co0.25,61,0.5,250
Mg2Ni0.75Cr0.25,61,0.9,250
Mg2Ni,61,1.1,250
Mg2Ni0.75Co0.25,61,0.5,250
Mg2Ni0.75Cr0.25,61,0.9,250
TiCo,61.1,2.2,150
Mg2Ni.75Zn.25,61.5,1,246
Mg2Ni.75Zn.25,61.5,1,246
CaNi5,62,0.04,22
Mg2Ni,62.2,57,450
Mg2Ni,62.2,57,450
Mg2Ni.75V.25,62.4,1,250
Mg2Ni.75V.25,62.4,1,250
Mg1.9Ti.1Ni,62.5,2.5,300
Mg1.9Ti.1Ni,62.5,2.5,300
ScMn2,63,,
Mg2CuAl.125,63,11,330
Mg2.42Ni,63.1,3.2,301
Mg2Ni,63.2,3.1,300
Mg2Ni.75Fe.25,63.2,1,253
Mg2Al3,63.2,11,335
Mg2Ni,63.2,3.1,300
Mg2Ni.75Fe.25,63.2,1,253
ZrNi,64,1,300
LaMg2Cu2,64.2,0.4,170
Mg2Ni,64.4,0.09,180
Mg2Ni,64.4,0.07,180
Mg2Ni,64.4,0.07,180
Mg2Ni,64.4,0.09,180
Mg2Ni,64.5,3.2,299
Mg2Ni.75Co.25,64.5,1,279
Mg2Ni,64.5,3.2,299
Mg2Ni.75Co.25,64.5,1,279
Mg2Ni,64.6,2.5,300
Mg2Ni,64.6,2.5,300
Mg12Ce,65,9,341
Mg2Ni.75Fe.25,65.2,1.9,300
Mg2Ni.75Fe.25,65.2,1.9,300
Mg2Ni,65.9,3.2,300
Mg2Ni,65.9,3.2,300
ZrCo,66,1,430
Mg2Ni.75Fe.25,66,1,285
Mg2Ni.75Zn.25,66,1,283
Mg2Ni,67,2.2,300
YbPd,67,,
ZrCo,67,0.01,200
PrCo2,67,0,100
Mg0.708La0.125Al0.167,67,4.5,300
Mg2Ni,67,2.2,300
Mg2.23Ni,67.3,4.9,323
Mg0.90La0.075Al0.025,68,5,308
Mg2Ni.75Co.25,68,1,297
Mg2Ni,68.6,0.05,180
Mg2Ni,68.6,0.05,180
Mg2Ni,68.8,0.06,180
Mg2Ni,68.8,0.06,180
Mg0.70Ni0.25Nd0.05,69,3,300
Li.94Pd,69.2,0.02,300
Mg17Al12,70,,
Mg1.92Al.08Ni,70.5,4,295
Mg1.92NiAl.08,70.5,4,295
Mg2Ni,71.3,2.6,300
Mg2Ni,71.3,2.6,300
Mg2CuAl.25,72,3,330
Mg2Cu,72.9,6,295
Mg2Cu,72.9,6,295
Mg14Al12Ti3,73,4.2,337
UNiAl,74.6,0,100
TiCu,75,0,200
LiPd,75.3,,
Mg2Co,76,16,450
Mg2Co,76,16,450
Mg0.80La0.10Al0.10,76,5.5,302
Mg0.80Ni0.15Nd0.05,76,1.6,300
Mg2CuAl.375,76,3,330
Zr.5Hf.5Co,76.2,0.2,200
Mg1.7NiAl.3,76.2,4.5,312
ZrCo,76.3,0.01,200
ZrNi,76.8,0.26,250
Mg0.85La0.10Al0.05,77,4.5,300
Mg2Fe,77.2,25,450
Mg2Fe,77.2,25,450
Mg2Fe,79.2,28,450
LaNi2,79.5,,
Mg.9Sc.1,79.5,8,375
Zr.7Hf.3Co,80.3,0.03,200
Mg6Pd,80.3,0.01,160
Mg6Pd,80.3,0.01,160
Mg51Zn20,80.9,8,330
Mg51Zn20,80.9,8,330
CeFe5,82,0.07,100
Mg2Ni.63Fe.37,82,1.7,320
ZrCo.84Ni.16,83,0.01,250
Mg2Ni.85Al.15,84,3,327
CaNi2,85,0.05,25
Mg2Ni.75Fe.25,86,2,312
GdMn2,87.5,1,360
Mg6Co2,89,,
Ti2Pd,90,,
ZrCo,90,0.05,252
GdNi2,90,1,300
Mg2Ni.75Al.25,90,2,327
LaNi,100,,
LuNi,100,,
CeMg2,101,0.1,216
CeMg2,101,0.1,216
Ti3Sn,101,,
ErNi,105,,
Ta.5Ti.5,107,,
